series_id,series_name,hit,imdb
247316,شمارش معکوس: پاول علیه تایسون,0,6.3
245591,گاندام: مرثیه ای برای انتقام,84,6.6
247934,مارتین اسکورسیزی تقدیم می کند: قدیسان,87,8
247830,قفس,78,6.5
246867,جادوگران: حقیقت پشت پرده دادگاه ها,0,6.8
225694,جوخه انتحار: دنیای دیگر,86,6.3
244364,دلبند,81,7.2
247648,بیگ بلو,89,8.8
247486,تا وقتی بکشمت,81,7.4
246933,موسیقی متن فیلم بازگشت به آینده ۳,0,7.4
245060,سیتادل: دایانا,58,5.8
246542,داستان هایی از خلأ,64,5.2
246197,موسیقی متن فیلم مردان ایکس: روزهای گذشته آینده,0,None
247616,هری پاتر: جادوگران شیرینی‌ پزی,87,7.5
236584,تل ماسه: پیشگویی,89,7.3
244511,توم ریدر: افسانه لارا کرافت,88,5.4
244465,فنجان چای,79,6.4
242136,زمین خوار,84,8.2
245438,پیشین,0,6.4
244960,روز شغال,97,8.1
246487,موسیقی متن فیلم پسر جهنمی,0,6.9
228361,دنیای بزرگ ولی کوچک جسیکا,88,7.5
246521,موسیقی متن فیلم جنگ فردا,0,6.6
246493,موسیقی متن فیلم سرزمین فردا,0,6.4
243043,ملکه وو,86,7.2
245180,ابر ماشین های غول پیکر,84,8
231436,کله کدو حکمرانی می‌ کند!,84,2
246818,موسیقی متن فیلم هوانورد,0,7.5
246195,موسیقی متن فیلم لورنس عربستان,0,None
246339,موسیقی متن فیلم روزگار آدلین,0,7.2
246644,موسیقی متن فیلم درود بر سزار!,0,6.3
246524,موسیقی متن فیلم بازگشت به آینده,0,8.5
242800,گرگ و میش خدایان,90,7.3
246427,آموزش مستندسازی با کن برنز,0,None
245267,ترانه های ساده,0,None
244478,کتاب اشباح فرانکلدا,85,8.5
245272,موسیقی متن فیلم کتاب هنری,0,None
245223,موسیقی متن بازی شیطان هم می ‌گرید ۵,0,8.5
245298,کیبومرها,57,None
245336,موسیقی متن فیلم سریع و خشمگین ۷,0,7.1
245477,کیدزبری,67,None
245415,موسیقی متن فیلم غارتگر,0,7.8
245383,موسیقی متن سریال هفت‌ جهان، یک سیاره,0,9.4
